chr1	11866206,11867187,11875902,11876671,11879544,11882751,11883763,11884542,11886212,11887171,11888162,	11866406,11867247,11875968,11876737,11879611,11882858,11883890,11884610,11886271,11887278,11888275,	CLCN6	NM_021737
chr1	11866206,11867187,11875902,11876671,11879544,11882751,11883763,11884542,11886212,11887145,11888162,11889252,	11866406,11867247,11875968,11876737,11879611,11882858,11883890,11884610,11886271,11887278,11888276,11889360,	CLCN6	NM_021736
chr1	11866206,11867187,11875902,11876671,11879544,11882751,11883763,11884542,11886212,11887145,11888162,	11866406,11867247,11875968,11876737,11879611,11882858,11883890,11884610,11886281,11887278,11888275,	CLCN6	NM_021735
chr1	11866206,11867187,11875902,11876671,11879544,11882751,11883763,11884542,11886212,11887145,11888162,11888514,11889252,11893571,11893933,11894292,11894540,11896023,11897055,11897399,11898391,11898591,11900199,	11866406,11867247,11875968,11876737,11879611,11882858,11883890,11884610,11886271,11887278,11888276,11888681,11889379,11893695,11894087,11894452,11894647,11896210,11897213,11897556,11898499,11898717,11903201,	CLCN6	NM_001286
chr1	40538381,40542513,40544231,40546068,40555081,40557000,40557716,40558069,40562786,	40539855,40542585,40544330,40546159,40555184,40557071,40557844,40558179,40563142,	PPT1	NM_000310
chr1	40538381,40542513,40544231,40546068,40555081,40562786,	40539855,40542585,40544330,40546159,40555184,40563142,	PPT1	NM_001142604
chr4	128838959,128842678,128843014,128851837,128854139,128859937,128861007,128863199,128864906,128870958,128878655,128886226,128887051,	128841991,128842926,128843118,128851972,128854248,128859993,128861152,128863313,128865147,128871002,128878747,128886363,128887139,	MFSD8	NM_152778
chr4	170541671,170557063,170601200,170608808,170610193,170611680,170613264,170616762,170618339,170625148,170628018,170634229,170638942,170641057,	170542214,170557239,170601358,170608908,170610381,170611803,170613471,170616843,170618885,170625335,170628417,170634446,170639018,170644338,	CLCN3	NM_173872
chr4	170581212,170601200,170608808,170610193,170611680,170613264,170616762,170618339,170625148,170628018,170634229,170641057,	170581599,170601358,170608908,170610381,170611803,170613471,170616843,170618885,170625335,170628417,170634446,170644338,	CLCN3	NM_001243374
chr4	170541671,170557063,170601200,170608808,170610193,170611680,170613264,170618339,170625148,170628018,170634229,170641057,	170542214,170557239,170601358,170608908,170610381,170611803,170613471,170618885,170625335,170628417,170634446,170644338,	CLCN3	NM_001243372
chr4	170541671,170557063,170601200,170608808,170610193,170611680,170613264,170616762,170618339,170625148,170628018,170634229,170641057,	170542214,170557239,170601358,170608908,170610381,170611803,170613471,170616843,170618885,170625335,170628417,170634446,170644338,	CLCN3	NM_001829
chr8	1711869,1719097,1728415,	1712051,1719763,1734736,	CLN8	NM_018941
chr11	1773981,1775032,1775223,1776135,1778553,1780198,1780745,1782538,1785021,	1774900,1775131,1775368,1776258,1778786,1780317,1780869,1782698,1785222,	CTSD	NM_001909
chr11	6633996,6636096,6636401,6636672,6637235,6637545,6637891,6638205,6638531,6638856,6640006,6640426,6640614,	6635917,6636222,6636560,6636793,6637305,6637734,6638090,6638384,6638659,6639007,6640146,6640498,6640692,	TPP1	NM_000391
chr11	66330934,66331558,66332028,66332212,66332357,66333141,66333301,66333492,66333761,66334716,66334914,66335454,66335744,	66331478,66331617,66332119,66332277,66332477,66333222,66333398,66333638,66333875,66334792,66335133,66335553,66336047,	CTSF	NM_003793
chr13	77566058,77569197,77570036,77574592,	77566406,77569363,77570262,77576652,	CLN5	NM_006493
chr15	68499329,68501974,68503600,68504012,68506627,68510873,68521839,	68500748,68502097,68503656,68504201,68506726,68510988,68522080,	CLN6	NM_017882
chr16	1494934,1497006,1497392,1497655,1498355,1498681,1498966,1499276,1500497,1501623,1502755,1503834,1504411,1505134,1505731,1506113,1507254,1507694,1509107,1510418,1510816,1511405,1511603,1524834,	1496718,1497087,1497569,1497715,1498485,1498767,1499094,1499328,1500667,1501717,1502894,1503895,1504466,1505251,1505796,1506207,1507338,1507757,1509188,1510528,1510949,1511471,1511675,1525085,	CLCN7	NM_001114331
chr16	1494934,1497006,1497392,1497655,1498355,1498681,1498966,1499276,1500497,1501623,1502755,1503834,1504411,1505134,1505731,1506113,1507254,1507694,1509107,1510418,1510816,1511405,1511603,1515267,1524834,	1496718,1497087,1497569,1497715,1498485,1498767,1499094,1499328,1500667,1501717,1502894,1503895,1504466,1505251,1505796,1506207,1507338,1507757,1509188,1510528,1510949,1511471,1511675,1515339,1525085,	CLCN7	NM_001287
chr16	28488599,28489057,28493425,28493647,28493797,28493946,28495326,28497667,28497898,28498776,28498982,28499911,28500610,28502802,28503034,	28488956,28489198,28493519,28493703,28493866,28493993,28495439,28497811,28497971,28498862,28499062,28499983,28500707,28502881,28503403,	CLN3	NM_000086
chr16	28488599,28489057,28493425,28493647,28493797,28493946,28495326,28497667,28497898,28498776,28498982,28499911,28500610,28502802,28503034,28503340,	28488956,28489198,28493519,28493703,28493866,28493993,28495439,28497811,28497971,28498862,28499062,28499983,28500707,28502881,28503156,28503623,	CLN3	NM_001042432
chr17	66255322,66303083,66339744,66343265,66347715,66352807,66364688,66366584,66381204,66391213,66397500,66416329,	66255567,66303852,66339932,66343313,66347827,66352945,66364885,66366665,66381313,66391334,66397591,66417000,	ARSG	NM_014960
chr17	78183078,78185869,78187602,78187970,78188413,78188831,78190830,78194024,	78184810,78186073,78187684,78188127,78188564,78188937,78190991,78194199,	SGSH	NM_000199
